"","hg19_Chromosome","hg19_Start","hg19_Stop","Symbol","EnsemblGeneID","MCARTA2.0_score"
"390","chr4",89442136,89444964,"PYURF","ENSG00000145337",19.1515
"391","chrX",48750730,48755426,"TIMM17B","ENSG00000126768",19.1438
"392","chr7",42971799,42988557,"MRPL32","ENSG00000106591",19.1186
"393","chr3",66119285,66438540,"SLC25A26","ENSG00000144741",19.0589
"394","chr19",36290890,36304201,"PRODH2","ENSG00000250799",19.0243
"395","chr3",100053545,100075710,"NIT2","ENSG00000114021",18.9854
"396","chr19",10416103,10426691,"FDX1L","ENSG00000267673",18.774
"397","chr18",48405419,48474691,"ME2","ENSG00000082212",18.7687
"398","chr16",28853732,28857729,"TUFM","ENSG00000178952",18.7687
"399","chr16",31439052,31439967,"COX6A2","ENSG00000156885",18.761
"400","chr4",41992489,42092474,"SLC30A9","ENSG00000014824",18.7541
"401","chr3",11831916,11888393,"TAMM41","ENSG00000144559",18.7491
"402","chr10",51592080,51623365,"TIMM23","ENSG00000138297",18.7491
"403","chr6",151725989,151773259,"RMND1","ENSG00000155906",18.7339
"404","chr1",12040238,12073571,"MFN2","ENSG00000116688",18.7088
"405","chr9",139256355,139268133,"DNLZ","ENSG00000187796",18.6742
"406","chr3",14153580,14166370,"CHCHD4","ENSG00000163528",18.6102
"407","chr16",23592323,23607677,"NDUFAB1","ENSG00000004779",18.5522
"408","chr16",20634559,20710212,"ACSM1","ENSG00000166743",18.4477
"409","chr2",99215773,99224978,"COA5","ENSG00000183513",18.4367
"410","chr4",84182689,84206067,"COQ2","ENSG00000173085",18.3569
"411","chr6",107473761,107780768,"PDSS2","ENSG00000164494",18.3085
"412","chr3",184908412,184999778,"EHHADH","ENSG00000113790",18.2869
"413","chr11",47586888,47606114,"NDUFS3","ENSG00000213619",18.2867
"414","chr1",229652329,229694442,"ABCB10","ENSG00000135776",18.2703
"415","chr5",80529104,80562216,"CKMT2","ENSG00000131730",18.2617
"416","chr3",15083967,15106842,"MRPS25","ENSG00000131368",18.2617
"417","chr3",128598439,128634910,"ACAD9","ENSG00000177646",18.227
"418","chr14",70791798,70826448,"COX16","ENSG00000133983",18.1871
"419","chr18",13663346,13726662,"FAM210A","ENSG00000177150",18.1771
"420","chr6",24667263,24705293,"ACOT13","ENSG00000112304",18.1718
"421","chr11",68522088,68611878,"CPT1A","ENSG00000110090",18.158
"422","chrX",30671476,30748725,"GK","ENSG00000198814",18.158
"423","chr14",24422795,24438488,"DHRS4","ENSG00000157326",18.0707
"424","chr5",144851362,145214932,"PRELID2","ENSG00000186314",18.0411
"425","chr13",111293759,111365950,"CARS2","ENSG00000134905",18.0124
"426","chr7",56019486,56067874,"GBAS","ENSG00000146729",18.0086
"427","chr19",14676890,14682874,"NDUFB7","ENSG00000099795",17.9816
"428","chr19",5678432,5680907,"C19orf70","ENSG00000174917",17.9816
"429","chr1",193065598,193075244,"GLRX2","ENSG00000023572",17.9483
"430","chr5",44809027,44820530,"MRPS30","ENSG00000112996",17.9441
"431","chr22",50961997,50964868,"SCO2","ENSG00000130489",17.9306
"432","chrX",53458206,53461320,"HSD17B10","ENSG00000072506",17.883
"433","chr11",78147007,78285919,"NARS2","ENSG00000137513",17.8532
"434","chr3",9879533,9886286,"RPUSD3","ENSG00000156990",17.8532
"435","chr12",56390964,56400425,"SUOX","ENSG00000139531",17.8457
"436","chr9",136528682,136605077,"SARDH","ENSG00000123453",17.7797
"437","chr8",99114572,99129469,"HRSP12","ENSG00000132541",17.7683
"438","chr11",63742079,63744015,"COX8A","ENSG00000176340",17.7556
"439","chr2",73114489,73119287,"SPR","ENSG00000116096",17.7302
"440","chr2",27532360,27548547,"MPV17","ENSG00000115204",17.715
"441","chr18",72907063,72921303,"ZADH2","ENSG00000180011",17.667
"442","chr6",160210844,160219468,"MRPL18","ENSG00000112110",17.6657
"443","chr9",38392661,38398658,"ALDH1B1","ENSG00000137124",17.6418
"444","chr10",75541805,75543410,"CHCHD1","ENSG00000172586",17.6292
"445","chrX",100600649,100604184,"TIMM8A","ENSG00000126953",17.5999
"446","chr8",42249142,42263415,"VDAC3","ENSG00000078668",17.5999
"447","chr1",108676658,108743471,"SLC25A24","ENSG00000085491",17.5999
"448","chr6",166778407,166796486,"MPC1","ENSG00000060762",17.5999
"449","chr11",790475,798316,"SLC25A22","ENSG00000177542",17.5999
"450","chr4",128651533,128695448,"SLC25A31","ENSG00000151475",17.5999
"451","chr22",18043139,18073760,"SLC25A18","ENSG00000182902",17.5999
"452","chr3",3168600,3192563,"TRNT1","ENSG00000072756",17.5943
"453","chr10",94211441,94333833,"IDE","ENSG00000119912",17.5759
"454","chr7",142941186,142967947,"GSTK1","ENSG00000197448",17.5601
"455","chr6",30876019,30894236,"VARS2","ENSG00000137411",17.5169
"456","chr2",198364718,198368181,"HSPE1","ENSG00000115541",17.479
"457","chr19",3762662,3768573,"MRPL54","ENSG00000183617",17.4674
"458","chr17",73894724,73905899,"MRPL38","ENSG00000204316",17.4383
"459","chr17",73008765,73017356,"ICT1","ENSG00000167862",17.4104
"460","chr6",36935917,36954074,"MTCH1","ENSG00000137409",17.3541
"461","chr12",120881764,120884215,"TRIAP1","ENSG00000170855",17.3524
"462","chr2",86333305,86369280,"PTCD3","ENSG00000132300",17.2962
"463","chr17",13972813,14111994,"COX10","ENSG00000006695",17.2748
"464","chr17",55162453,55198710,"AKAP1","ENSG00000121057",17.2637
"465","chr17",685513,695749,"RNMTL1","ENSG00000171861",17.2624
"466","chr1",33473585,33546597,"AK2","ENSG00000004455",17.2313
"467","chr8",74884672,74895018,"TMEM70","ENSG00000175606",17.2263
"468","chr4",57829536,57844989,"NOA1","ENSG00000084092",17.1851
"469","chr6",13786789,13814800,"MCUR1","ENSG00000050393",17.1844
"470","chr6",10723148,10731362,"TMEM14C","ENSG00000111843",17.1833
"471","chr4",140188034,140223705,"NDUFC1","ENSG00000109390",17.1335
"472","chr2",86426478,86440917,"MRPL35","ENSG00000132313",17.0797
"473","chr19",54606036,54612564,"NDUFA3","ENSG00000170906",17.0508
"474","chr10",26986588,27035727,"PDSS1","ENSG00000148459",17.0241
"475","chr10",70237756,70287231,"SLC25A16","ENSG00000122912",16.9789
"476","chr7",139024203,139031065,"C7orf55","ENSG00000164898",16.9759
"477","chr16",20621565,20808903,"ACSM3","ENSG00000005187",16.9674
"478","chr8",95907995,96128683,"NDUFAF6","ENSG00000156170",16.9393
"479","chr4",141480588,141489959,"UCP1","ENSG00000109424",16.9291
"480","chr5",174904065,174956745,"SFXN1","ENSG00000164466",16.8968
"481","chr14",95999840,96011061,"GLRX5","ENSG00000182512",16.8965
"482","chr9",130455257,130487152,"PTRH1","ENSG00000187024",16.8566
"483","chr15",89010684,89022222,"MRPS11","ENSG00000181991",16.8275
"484","chr22",41253081,41363838,"XPNPEP3","ENSG00000196236",16.7746
"485","chr8",94870035,94938294,"PDP1","ENSG00000164951",16.711
"486","chr16",2289396,2302301,"ECI1","ENSG00000167969",16.6712
"487","chr14",37147636,37642071,"SLC25A21","ENSG00000183032",16.6691
"488","chr14",100757448,100772884,"SLC25A29","ENSG00000197119",16.6691
"489","chr11",65142663,65151172,"SLC25A45","ENSG00000162241",16.6691
"490","chr7",96745902,96811075,"ACN9","ENSG00000196636",16.6673
"491","chr20",57608200,57617964,"SLMO2","ENSG00000101166",16.6353
"492","chr17",42396993,42402238,"SLC25A39","ENSG00000013306",16.6353
"493","chr2",201936156,201950473,"NDUFB3","ENSG00000119013",16.6293
"494","chr11",114310108,114321001,"REXO2","ENSG00000076043",16.5842
"495","chr15",45653322,45694525,"GATM","ENSG00000171766",16.5759
"496","chr11",6502677,6505909,"TIMM10B","ENSG00000132286",16.5126
"497","chr19",39405906,39440495,"SARS2","ENSG00000104835",16.4733
"498","chr3",53846362,53880417,"CHDH","ENSG00000016391",16.4719
"499","chr13",21750784,21753223,"MRPL57","ENSG00000173141",16.449
"500","chr8",145751117,145754516,"C8orf82","ENSG00000213563",16.4463
"501","chr16",23533335,23569052,"EARS2","ENSG00000103356",16.3581
"502","chr9",37422663,37436987,"GRHPR","ENSG00000137106",16.3466
"503","chr15",65294845,65321977,"MTFMT","ENSG00000103707",16.2791
"504","chr5",71616194,71656052,"PTCD2","ENSG00000049883",16.2788
"505","chr6",127609855,127664754,"ECHDC1","ENSG00000093144",16.2579
"506","chr5",140071011,140078889,"HARS2","ENSG00000112855",16.1202
"507","chr7",10971578,10979883,"NDUFA4","ENSG00000189043",16.014
"508","chr19",19626545,19644285,"NDUFA13","ENSG00000186010",16.014
"509","chr1",156561554,156564091,"APOA1BP","ENSG00000163382",16.0079
"510","chr17",21100593,21117937,"TMEM11","ENSG00000178307",15.95
"511","chr22",50639408,50656045,"SELO","ENSG00000073169",15.9471
"512","chr17",42081914,42086431,"NAGS","ENSG00000161653",15.9375
"513","chr5",118788138,118972894,"HSD17B4","ENSG00000133835",15.9229
"514","chr2",37458774,37480546,"NDUFAF7","ENSG00000003509",15.9113
"515","chr10",126085872,126107545,"OAT","ENSG00000065154",15.9076
"516","chr9",104149915,104160896,"MRPL50","ENSG00000136897",15.8783
"517","chrX",77154935,77162870,"COX7B","ENSG00000131174",15.8766
"518","chr6",88224096,88299721,"RARS2","ENSG00000146282",15.794
"519","chr17",79632066,79633665,"OXLD1","ENSG00000204237",15.7643
"520","chr8",71547553,71581409,"LACTB2","ENSG00000147592",15.7502
"521","chr19",5891287,5904017,"NDUFA11","ENSG00000174886",15.7163
"522","chr1",1309110,1310875,"AURKAIP1","ENSG00000175756",15.6543
"523","chr8",57124245,57131357,"CHCHD7","ENSG00000170791",15.6465
"524","chr12",57623110,57628718,"SHMT2","ENSG00000182199",15.6448
"525","chr2",74425689,74444692,"MTHFD2","ENSG00000065911",15.5945
"526","chr8",87480486,87526586,"RMDN1","ENSG00000176623",15.5828
"527","chr2",211342406,211543831,"CPS1","ENSG00000021826",15.5621
"528","chr6",44081194,44095194,"MRPL14","ENSG00000180992",15.5546
"529","chr6",107349407,107372546,"C6orf203","ENSG00000130349",15.423
"530","chr19",55550476,55582659,"RDH13","ENSG00000160439",15.4199
"531","chrX",100264335,100307105,"TRMT2B","ENSG00000188917",15.4155
"532","chr7",43906157,43909492,"MRPS24","ENSG00000062582",15.3646
"533","chr17",40947165,40950722,"COA3","ENSG00000183978",15.3448
"534","chr8",30535583,30585443,"GSR","ENSG00000104687",15.3163
"535","chr9",131580753,131584956,"ENDOG","ENSG00000167136",15.269
"536","chr19",49298319,49314286,"BCAT2","ENSG00000105552",15.2627
"537","chr17",29224354,29233838,"TEFM","ENSG00000172171",15.0986
"538","chr17",48503519,48552206,"ACSF2","ENSG00000167107",15.0953
"539","chr22",46726772,46753237,"TRMU","ENSG00000100416",15.0407
"540","chr3",138724648,139076065,"MRPS22","ENSG00000175110",15.0324
"541","chr4",17578815,17609595,"LAP3","ENSG00000002549",15.0096
"542","chr10",88810243,88854623,"GLUD1","ENSG00000148672",14.9838
"543","chr1",24128375,24165110,"HMGCL","ENSG00000117305",14.9768
"544","chr3",59735036,61237133,"FHIT","ENSG00000189283",14.9656
"545","chr7",140705854,140715028,"MRPS33","ENSG00000090263",14.9601
"546","chr14",31959162,32330430,"NUBPL","ENSG00000151413",14.9062
"547","chr6",90277863,90348472,"LYRM2","ENSG00000083099",14.8599
"548","chr16",15489611,15507125,"MPV17L","ENSG00000156968",14.8338
"549","chr19",13064972,13068050,"GADD45GIP1","ENSG00000179271",14.8305
"550","chr10",60144782,60158981,"TFAM","ENSG00000108064",14.8274
"551","chr10",97365696,97416463,"ALDH18A1","ENSG00000059573",14.6874
"552","chr3",25824408,25836025,"OXSM","ENSG00000151093",14.6313
"553","chr1",89401456,89458636,"CCBL2","ENSG00000137944",14.6313
"554","chr1",150459887,150480078,"TARS2","ENSG00000143374",14.6313
"555","chr7",45139699,45151646,"TBRG4","ENSG00000136270",14.6312
"556","chr8",125324231,125384933,"TMEM65","ENSG00000164983",14.6312
"557","chr20",34287194,34288906,"ROMO1","ENSG00000125995",14.6285
"558","chr11",64085560,64089283,"PRDX5","ENSG00000126432",14.4942
"559","chr13",43597339,43683045,"DNAJC15","ENSG00000120675",14.4932
"560","chr2",200820040,200873263,"C2orf47","ENSG00000162972",14.4625
"561","chr3",42798669,42846023,"HIGD1A","ENSG00000181061",14.4522
"562","chr16",1469745,1479345,"C16orf91","ENSG00000174109",14.3685
"563","chr16",718086,724174,"RHOT2","ENSG00000140983",14.3175
"564","chr1",156163880,156182587,"SLC25A44","ENSG00000160785",14.296
"565","chr1",119911402,119936753,"HAO2","ENSG00000116882",14.2925
"566","chr14",23235731,23241007,"OXA1L","ENSG00000155463",14.278
"567","chr5",110073837,110100857,"SLC25A46","ENSG00000164209",14.2347
"568","chr2",18735989,18741946,"RDH14","ENSG00000240857",14.212
"569","chr14",104378625,104394606,"C14orf2","ENSG00000156411",14.159
"570","chrX",15706953,15805747,"CA5B","ENSG00000169239",14.1358
"571","chr17",40713485,40718295,"COASY","ENSG00000068120",14.1358
"572","chr17",36886488,36891297,"CISD3","ENSG00000230055",14.1358
"573","chr14",77787227,77797940,"GSTZ1","ENSG00000100577",14.1262
"574","chr19",55860674,55866182,"COX6B2","ENSG00000160471",14.0781
"575","chr17",660337,685581,"GLOD4","ENSG00000167699",14.0669
"576","chr3",38144620,38178733,"ACAA1","ENSG00000060971",14.0449
"577","chr7",86974997,87029111,"CROT","ENSG00000005469",14.0373
"578","chr16",69362524,69364498,"PDF","ENSG00000258429",14.0367
"579","chr7",938415,1015235,"COX19","ENSG00000240230",13.9987
"580","chr3",49454211,49460186,"AMT","ENSG00000145020",13.9633
"581","chr16",70147529,70195203,"PDPR","ENSG00000090857",13.9633
"582","chr5",65018023,65167553,"NLN","ENSG00000123213",13.9633
"583","chr1",149859440,149872351,"BOLA1","ENSG00000178096",13.9219
"584","chrX",55035488,55057497,"ALAS2","ENSG00000158578",13.85
"585","chr5",148724993,148734146,"GRPEL2","ENSG00000164284",13.8497
"586","chr5",125877533,125931110,"ALDH7A1","ENSG00000164904",13.8432
"587","chr22",17618401,17646177,"CECR5","ENSG00000069998",13.8432
"588","chr16",2034208,2037750,"GFER","ENSG00000127554",13.8041
"589","chr7",110303110,111202573,"IMMP2L","ENSG00000184903",13.8041
"590","chr20",30225691,30232809,"COX4I2","ENSG00000131055",13.7961
"591","chr21",26957968,26979829,"MRPL39","ENSG00000154719",13.7805
"592","chr4",170981373,171012850,"AADAT","ENSG00000109576",13.7676
"593","chrX",154254255,154288578,"FUNDC2","ENSG00000165775",13.7634
"594","chr8",54958938,55014577,"LYPLA1","ENSG00000120992",13.7631
"595","chr4",96761239,96762625,"PDHA2","ENSG00000163114",13.7592
"596","chr6",153308497,153323820,"MTRF1L","ENSG00000112031",13.7285
"597","chr19",17445729,17453544,"GTPBP3","ENSG00000130299",13.7285
"598","chr4",74979891,75168816,"MTHFD2L","ENSG00000163738",13.7285
"599","chr10",27399383,27444195,"YME1L1","ENSG00000136758",13.7265
"600","chr14",74034324,74042357,"ACOT2","ENSG00000119673",13.6365
"601","chr14",104029299,104073860,"APOPT1","ENSG00000256053",13.5535
"602","chr12",109991542,110011679,"MMAB","ENSG00000139428",13.5461
"603","chr1",161136200,161147803,"PPOX","ENSG00000143224",13.5423
"604","chr1",94883933,94984222,"ABCD3","ENSG00000117528",13.5303
"605","chr11",215458,236931,"SIRT3","ENSG00000142082",13.5038
"606","chr16",75145758,75150669,"LDHD","ENSG00000166816",13.493
"607","chr17",36452989,36479101,"MRPL45","ENSG00000174100",13.4907
"608","chr12",123717463,123742506,"C12orf65","ENSG00000130921",13.4869
"609","chr11",31453948,31531192,"IMMP1L","ENSG00000148950",13.4869
"610","chr15",89859534,89878092,"POLG","ENSG00000140521",13.4692
"611","chr1",47098409,47139539,"ATPAF1","ENSG00000123472",13.4272
"612","chr12",56109820,56113871,"BLOC1S1","ENSG00000135441",13.397
"613","chr12",105413568,105478355,"ALDH1L2","ENSG00000136010",13.3962
"614","chr4",73921797,73935472,"COX18","ENSG00000163626",13.3581
"615","chr3",98239976,98312567,"CPOX","ENSG00000080819",13.3434
"616","chr5",43602794,43707507,"NNT","ENSG00000112992",13.3432
"617","chr17",79213039,79215081,"C17orf89","ENSG00000224877",13.3169
"618","chr12",58335324,58351052,"XRCC6BP1","ENSG00000166896",13.312
"619","chr17",43100708,43138473,"DCAKD","ENSG00000172992",13.3108
"620","chr7",99046098,99063954,"ATP5J2","ENSG00000241468",13.2425
"621","chr1",113454469,113499635,"SLC16A1","ENSG00000155380",13.2406
"622","chr10",102790991,102800998,"SFXN3","ENSG00000107819",13.201
"623","chr16",48278207,48397033,"LONP2","ENSG00000102910",13.1903
"624","chr7",121715701,121784334,"AASS","ENSG00000008311",13.1893
"625","chr12",122692210,122712081,"DIABLO","ENSG00000184047",13.1755
"626","chr14",93813537,93814702,"COX8C","ENSG00000187581",13.1755
"627","chr12",133264192,133297276,"PXMP2","ENSG00000176894",13.1014
"628","chr5",34998206,35048198,"AGXT2","ENSG00000113492",13.0867
"629","chr12",56864736,56882198,"GLS2","ENSG00000135423",13.0829
"630","chrX",23851470,23926057,"APOO","ENSG00000184831",13.0784
"631","chr3",132276982,132379567,"ACAD11","ENSG00000240303",13.0669
"632","chr5",126378250,126409184,"C5orf63","ENSG00000164241",13.0459
"633","chr10",99344080,99372559,"HOGA1","ENSG00000241935",13.0192
"634","chr17",15902694,15948329,"TTC19","ENSG00000011295",13.0076
"635","chr15",90808891,90816463,"NGRN","ENSG00000182768",12.9259
"636","chr3",44379611,44450943,"TCAIM","ENSG00000179152",12.9201
"637","chr16",81115566,81130008,"GCSH","ENSG00000140905",12.8668
"638","chr6",13574816,13614790,"SIRT5","ENSG00000124523",12.8138
"639","chr16",46918290,46965209,"GPT2","ENSG00000166123",12.7592
"640","chr6",41748087,41757879,"TOMM6","ENSG00000124593",12.7538
"641","chr3",122103023,122131181,"FAM162A","ENSG00000114023",12.731
"642","chr2",220074490,220083712,"ABCB6","ENSG00000115657",12.7169
"643","chr11",63766030,63933578,"MACROD1","ENSG00000133315",12.6904
"644","chr22",37406900,37415681,"TST","ENSG00000128311",12.6585
"645","chrM",5904,7445,"COX1","ENSG00000198804",12.6275
"646","chr1",26145131,26159432,"MTFR1L","ENSG00000117640",12.5802
"647","chr14",24908972,24912111,"SDR39U1","ENSG00000100445",12.5742
"648","chr5",78293438,78531861,"DMGDH","ENSG00000132837",12.558
"649","chrX",129473874,129507335,"SLC25A14","ENSG00000102078",12.5484
"650","chr18",12407895,12432237,"SLMO1","ENSG00000141391",12.5484
"651","chr22",41165634,41215403,"SLC25A17","ENSG00000100372",12.392
"652","chr2",113341817,113346852,"CHCHD5","ENSG00000125611",12.309
"653","chr3",100082275,100120242,"TOMM70A","ENSG00000154174",12.3028
"654","chr1",161087876,161095235,"NIT1","ENSG00000158793",12.2585
"655","chr16",1876968,1890208,"FAHD1","ENSG00000180185",12.2255
"656","chr10",74451889,74647452,"MCU","ENSG00000156026",12.1476
"657","chr2",219646472,219680016,"CYP27A1","ENSG00000135929",12.0912
"658","chrM",4470,5511,"ND2","ENSG00000198763",12.0861
"659","chrM",10760,12137,"ND4","ENSG00000198886",12.0861
"660","chrM",12337,14148,"ND5","ENSG00000198786",12.0861
"661","chr2",63815743,63834331,"MDH1","ENSG00000014641",12.0828
"662","chr5",141303373,141321612,"KIAA0141","ENSG00000081791",12.0574
"663","chr2",170386259,170430385,"FASTKD1","ENSG00000138399",12.021
"664","chr13",41303432,41345309,"MRPS31","ENSG00000102738",11.9827
"665","chr3",125822412,125916837,"ALDH1L1","ENSG00000144908",11.9576
"666","chr7",99014362,99063787,"PTCD1","ENSG00000106246",11.8591
"667","chr2",26466038,26513336,"HADHB","ENSG00000138029",11.8128
"668","chr1",40306723,40349183,"TRIT1","ENSG00000043514",11.7935
"669","chr20",5986736,6020699,"CRLS1","ENSG00000088766",11.7412
"670","chr3",52321105,52329272,"GLYCTK","ENSG00000168237",11.7394
"671","chr8",104410863,104427417,"SLC25A32","ENSG00000164933",11.7161
"672","chr6",44267391,44281063,"AARS2","ENSG00000124608",11.6455
"673","chr3",38537618,38583652,"EXOG","ENSG00000157036",11.6272
"674","chr7",56169262,56174269,"CHCHD2","ENSG00000106153",11.6049
"675","chr1",241695434,241758944,"KMO","ENSG00000117009",11.6003
"676","chr2",73169165,73302747,"SFXN5","ENSG00000144040",11.5852
"677","chr17",12895708,12921504,"ELAC2","ENSG00000006744",11.57
"678","chr3",49394609,49396033,"GPX1","ENSG00000233276",11.5396
"679","chr22",51007290,51017899,"CPT1B","ENSG00000205560",11.4641
"680","chr6",83920108,84140797,"ME1","ENSG00000065833",11.431
"681","chr7",100882739,100895597,"FIS1","ENSG00000214253",11.3989
"682","chr5",176730775,176733960,"PRELID1","ENSG00000169230",11.381
"683","chr11",73711326,73720480,"UCP3","ENSG00000175564",11.3472
"684","chr6",46620678,46645930,"SLC25A27","ENSG00000153291",11.3472
"685","chr7",87462883,87505672,"SLC25A40","ENSG00000075303",11.3472
"686","chr19",6436090,6465214,"SLC25A23","ENSG00000125648",11.3472
"687","chr3",50606583,50622366,"HEMK1","ENSG00000114735",11.3146
"688","chr3",140660672,140698775,"SLC25A36","ENSG00000114120",11.232
"689","chr1",58881056,59012474,"OMA1","ENSG00000162600",11.2236
"690","chr8",38243725,38267045,"LETM2","ENSG00000165046",11.1783
"691","chr14",24759804,24769039,"DHRS1","ENSG00000157379",11.1569
"692","chr9",124101355,124132531,"STOM","ENSG00000148175",11.0325
"693","chr2",170666591,170681441,"METTL5","ENSG00000138382",10.934
"694","chr8",9911778,10286401,"MSRA","ENSG00000175806",10.9177
"695","chr11",67395409,67397401,"NUDT8","ENSG00000167799",10.9177
"696","chr3",139279022,139396859,"NMNAT3","ENSG00000163864",10.9177
"697","chr3",39424839,39438842,"SLC25A38","ENSG00000144659",10.897
"698","chr19",18303992,18307758,"MPV17L2","ENSG00000254858",10.8917
"699","chr17",40023161,40086795,"ACLY","ENSG00000131473",10.8771
"700","chr12",39943835,40013553,"ABCD2","ENSG00000173208",10.8757
"701","chr1",154955814,154965587,"FLAD1","ENSG00000160688",10.8723
"702","chr2",99771418,99779620,"LIPT1","ENSG00000144182",10.853
"703","chr14",91526677,91691976,"C14orf159","ENSG00000133943",10.8
"704","chr14",24563262,24579807,"PCK2","ENSG00000100889",10.7634
"705","chr5",36192694,36242381,"NADK2","ENSG00000152620",10.7634
"706","chr2",75061108,75120486,"HK2","ENSG00000159399",10.7609
"707","chr22",37415676,37425863,"MPST","ENSG00000128309",10.759
"708","chr10",74870217,74891586,"NUDT13","ENSG00000166321",10.7449
"709","chr17",35441923,35766909,"ACACA","ENSG00000132142",10.6893
"710","chr16",8768422,8878432,"ABAT","ENSG00000183044",10.6859
"711","chr1",120290619,120311528,"HMGCS2","ENSG00000134240",10.6859
"712","chr6",24495080,24537435,"ALDH5A1","ENSG00000112294",10.6859
"713","chr15",43985084,43991420,"CKMT1A","ENSG00000223572",10.6859
"714","chr22",32014477,32058418,"PISD","ENSG00000241878",10.6567
"715","chr3",120315156,120321347,"NDUFB4","ENSG00000065518",10.644
"716","chr19",1597171,1605480,"UQCR11","ENSG00000127540",10.644
"717","chr2",70523107,70529222,"FAM136A","ENSG00000035141",10.644
"718","chr9",37582643,37592639,"TOMM5","ENSG00000175768",10.644
"719","chr2",74756504,74760472,"HTRA2","ENSG00000115317",10.5524
"720","chr19",34850385,34893061,"GPI","ENSG00000105220",10.5459
"721","chrX",119005450,119010625,"NDUFA1","ENSG00000125356",10.5143
"722","chrM",14747,15887,"CYTB","ENSG00000198727",10.4861
"723","chr1",228327663,228336685,"GUK1","ENSG00000143774",10.4839
"724","chr2",242673994,242708231,"D2HGDH","ENSG00000180902",10.4683
"725","chr19",46030685,46105470,"OPA3","ENSG00000125741",10.4178
"726","chr7",134212344,134226160,"AKR1B10","ENSG00000198074",10.4124
"727","chr10",13319796,13344412,"PHYH","ENSG00000107537",10.361
"728","chr5",60240956,60448853,"NDUFAF2","ENSG00000164182",10.2921
"729","chr19",11616731,11639989,"ECSIT","ENSG00000130159",10.2795
"730","chr3",183547173,183602721,"PARL","ENSG00000175193",10.2511
"731","chr12",93861264,93897545,"MRPL42","ENSG00000198015",10.2285
"732","chr11",63997750,64001758,"DNAJC4","ENSG00000110011",10.2268
"733","chr16",4381550,4405608,"PAM16","ENSG00000217930",10.1208
"734","chr17",19551449,19580911,"ALDH3A2","ENSG00000072210",10.116
"735","chr5",131142683,131347936,"ACSL6","ENSG00000164398",10.0693
"736","chr10",71897737,71906432,"TYSND1","ENSG00000156521",10.0681
"737","chr6",24403153,24425810,"MRS2","ENSG00000124532",9.987
"738","chr3",111697857,111712210,"ABHD10","ENSG00000144827",9.9467
"739","chr6",126277927,126301387,"HINT3","ENSG00000111911",9.9139
"740","chr20",32294512,32308125,"PXMP4","ENSG00000101417",9.874
"741","chr2",190611386,190627953,"OSGEPL1","ENSG00000128694",9.8639
"742","chr9",34329504,34343709,"NUDT2","ENSG00000164978",9.8196
"743","chr16",69458428,69500169,"CYB5B","ENSG00000103018",9.8196
"744","chr4",71681499,71705662,"GRSF1","ENSG00000132463",9.8097
"745","chr6",30585485,30594174,"MRPS18B","ENSG00000203624",9.7734
"746","chr7",73095299,73097783,"DNAJC30","ENSG00000176410",9.7734
"747","chr11",34460472,34493609,"CAT","ENSG00000121691",9.7644
"748","chr2",74153953,74186088,"DGUOK","ENSG00000114956",9.7551
"749","chrX",23720370,23784592,"ACOT9","ENSG00000123130",9.7551
"750","chr20",24986868,25039616,"ACSS1","ENSG00000154930",9.7551
"751","chr9",79000433,79009433,"RFK","ENSG00000135002",9.7512
"752","chr2",96850597,96874563,"STARD7","ENSG00000084090",9.7417
"753","chr12",102090725,102137918,"CHPT1","ENSG00000111666",9.7365
"754","chrM",8366,8572,"ATP8","ENSG00000228253",9.7131
"755","chr3",119217379,119243937,"TIMMDC1","ENSG00000113845",9.7131
"756","chr11",133710526,133715433,"SPATA19","ENSG00000166118",9.7131
"757","chr11",20385231,20405329,"HTATIP2","ENSG00000109854",9.6805
"758","chr1",19630459,19638640,"AKR7A2","ENSG00000053371",9.6694
"759","chr15",48623208,48635570,"DUT","ENSG00000128951",9.607
"760","chr17",26941458,26972472,"KIAA0100","ENSG00000007202",9.5794
"761","chrM",9207,9990,"COX3","ENSG00000198938",9.5597
"762","chr17",21026677,21096578,"DHRS7B","ENSG00000109016",9.5343
"763","chr13",41790505,41837742,"MTRF1","ENSG00000120662",9.5152
"764","chr19",48835613,48867494,"TMEM143","ENSG00000161558",9.5086
"765","chr17",17206649,17250977,"NT5M","ENSG00000205309",9.4427
"766","chr17",30469473,30580393,"RHOT1","ENSG00000126858",9.3784
"767","chr16",446725,460367,"NME4","ENSG00000103202",9.3094
"768","chr15",80125927,80189721,"MTHFS","ENSG00000136371",9.3094
"769","chr19",11039409,11044211,"C19orf52","ENSG00000142444",9.3093
"770","chr17",46018872,46025654,"PNPO","ENSG00000108439",9.3059
"771","chr2",209100951,209130798,"IDH1","ENSG00000138413",9.2614
"772","chr13",22066836,22178353,"MICU2","ENSG00000165487",9.1993
"773","chr5",134240596,134343649,"PCBD2","ENSG00000132570",9.1845
"774","chr6",107077453,107116292,"QRSL1","ENSG00000130348",9.164
"775","chr14",78266426,78401355,"ADCK1","ENSG00000063761",9.1463
"776","chr1",173446405,173457946,"PRDX6","ENSG00000117592",9.1304
"777","chr3",53258723,53290068,"TKT","ENSG00000163931",9.1077
"778","chr22",29950797,29977326,"NIPSNAP1","ENSG00000184117",9.1051
"779","chr7",30634297,30673649,"GARS","ENSG00000106105",9.0665
"780","chr16",20462783,20498991,"ACSM2A","ENSG00000183747",9.0362
