Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
RHPN2		19q13.11	AMP	21	816	2.6%	No
GFM1		3q25.32	AMP	21	816	2.6%	No
GALP	2.444e-3	19q13.43	AMP	21	816	2.6%	No
FAAP24		19q13.11	AMP	21	816	2.6%	No
ZNF830		17q12	AMP	21	816	2.6%	No
ADPRHL1	1.232e-2	13q34	AMP	21	816	2.6%	No
C11ORF74		11p12	AMP	21	816	2.6%	No
TMEM207		3q28	AMP	21	816	2.6%	No
RNF113B	1.232e-2	13q32.2	AMP	21	816	2.6%	No
MROH8		20q11.23	AMP	21	816	2.6%	No
LDLRAD3		11p13	AMP	21	816	2.6%	No
A2ML1		12p13.31	AMP	21	816	2.6%	No
SLC35G3		17q12	AMP	21	816	2.6%	No
PPM1L		3q25.33-q26.1	AMP	21	816	2.6%	No
SLC66A1L		3q25.32	AMP	21	816	2.6%	No
MBOAT1		6p22.3	AMP	21	816	2.6%	No
KCNU1		8p11.23	HOMDEL	21	816	2.6%	No
LMNTD1		12p12.1	AMP	21	816	2.6%	No
SPTSSB		3q26.1	AMP	21	816	2.6%	No
RDM1		17q12	AMP	21	816	2.6%	No
ZCCHC24	9.276e-5	10q22.3	AMP	21	816	2.6%	No
TAS2R43		12p13.2	AMP	21	816	2.6%	No
TAS2R31		12p13.2	AMP	21	816	2.6%	No
TAS2R46		12p13.2	AMP	21	816	2.6%	No
TAS2R30		12p13.2	AMP	21	816	2.6%	No
TAS2R19		12p13.2	AMP	21	816	2.6%	No
IGSF10		3q25.1	AMP	21	816	2.6%	No
TAS2R64P		12p13.2	AMP	21	816	2.6%	No
ST8SIA6		10p12.33	AMP	21	816	2.6%	No
ZSCAN5B	2.444e-3	19q13.43	AMP	21	816	2.6%	No
AADACL2		3q25.1	AMP	21	816	2.6%	No
C6ORF52		6p24.2	AMP	21	816	2.6%	No
DNAAF3	2.444e-3	19q13.42	AMP	21	816	2.6%	No
TAS2R42		12p13.2	AMP	21	816	2.6%	No
REP15		12p11.22	AMP	21	816	2.6%	No
CPHL1P		3q25.1	AMP	21	816	2.6%	No
LEKR1		3q25.31	AMP	21	816	2.6%	No
C1QL3		10p13	AMP	21	816	2.6%	No
GCNT2P1		6p24.2	AMP	21	816	2.6%	No
TMEM14EP		3q25.2	AMP	21	816	2.6%	No
ZSCAN5DP	2.444e-3	19q13.43	AMP	21	816	2.6%	No
ZSCAN5C	2.444e-3	19q13.43	AMP	21	816	2.6%	No
ANKRD33B		5p15.2	AMP	21	816	2.6%	No
MRPL45P2		17q21.32	AMP	21	816	2.6%	No
FAM155A	1.232e-2	13q33.3	AMP	21	816	2.6%	No
LINC00886		3q25.31	AMP	21	816	2.6%	No
ZNF587B	2.444e-3	19q13.43	AMP	21	816	2.6%	No
LINC00987		12p13.31	AMP	21	816	2.6%	No
THEG5		19q12	AMP	21	816	2.6%	No
LINC00489		20q11.23	AMP	21	816	2.6%	No
RNA5SP145		3q25.1	AMP	21	816	2.6%	No
RNA5SP264		8p11.23	HOMDEL	21	816	2.6%	No
RNA5SP279		9p24.3	AMP	21	816	2.6%	No
RNA5SP354		12p11.23	AMP	21	816	2.6%	No
RNA5SP437		17q11.2	AMP	21	816	2.6%	No
RNA5SP471		19q12	AMP	21	816	2.6%	No
RNA5SP483		20q11.22	AMP	21	816	2.6%	No
RN7SKP8	1.232e-2	13q32.2	AMP	21	816	2.6%	No
RN7SKP9	1.232e-2	13q32.3	AMP	21	816	2.6%	No
ACTN4		19q13.2	AMP	20	816	2.5%	No
E2F3		6p22.3	AMP	20	816	2.5%	Yes
EVI2A		17q11.2	AMP	20	816	2.5%	No
GPC5		13q31.3	AMP	20	816	2.5%	No
GAST		17q21.2	AMP	20	816	2.5%	No
GGT7		20q11.22	AMP	20	816	2.5%	No
GRM7		3p26.1	AMP	20	816	2.5%	No
GSS		20q11.22	AMP	20	816	2.5%	No
HCFC1		Xq28	AMP	20	816	2.5%	No
HPN		19q13.11	AMP	20	816	2.5%	No
ING1	1.232e-2	13q34	AMP	20	816	2.5%	No
ITPR1		3p26.1	AMP	20	816	2.5%	No
JARID2		6p22.3	AMP	20	816	2.5%	Yes
KLRC1		12p13.2	AMP	20	816	2.5%	No
KLRC2		12p13.2	AMP	20	816	2.5%	No
KLRC3		12p13.2	AMP	20	816	2.5%	No
LIG4	1.232e-2	13q33.3	AMP	20	816	2.5%	No
MLF1		3q25.32	AMP	20	816	2.5%	Yes
MRC1		10p12.33	AMP	20	816	2.5%	No
MYO10		5p15.1	AMP	20	816	2.5%	No
PLCG1		20q12	AMP	20	816	2.5%	Yes
PRL		6p22.3	AMP	20	816	2.5%	No
PSMC4		19q13.2	AMP	20	816	2.5%	No
PTPRD		9p24.1-p23	AMP	20	816	2.5%	Yes
RAG1		11p12	AMP	20	816	2.5%	No
RPS16		19q13.2	AMP	20	816	2.5%	No
ATXN1		6p22.3	AMP	20	816	2.5%	No
SCN1B		19q13.11	AMP	20	816	2.5%	No
CCL5		17q12	AMP	20	816	2.5%	No
CCL23		17q12	AMP	20	816	2.5%	No
SLC1A6		19p13.12	AMP	20	816	2.5%	No
SLC17A1		6p22.2	AMP	20	816	2.5%	No
SMARCA2		9p24.3	AMP	20	816	2.5%	Yes
SOX1	1.232e-2	13q34	AMP	20	816	2.5%	No
SUPT5H		19q13.2	AMP	20	816	2.5%	No
TPMT		6p22.3	AMP	20	816	2.5%	No
NR2C2	3.005e-2	3p25.1	AMP	20	816	2.5%	No
ZFP36		19q13.2	AMP	20	816	2.5%	No
ZNF154	2.444e-3	19q13.43	AMP	20	816	2.5%	No
KCNAB1		3q25.31	AMP	20	816	2.5%	No
TAF15		17q12	AMP	20	816	2.5%	Yes
TMEM187		Xq28	AMP	20	816	2.5%	No
KLRC4		12p13.2	AMP	20	816	2.5%	No
YBX3		12p13.2	AMP	20	816	2.5%	No
KRT37		17q21.2	AMP	20	816	2.5%	No
GMPS		3q25.31	AMP	20	816	2.5%	Yes
HAP1		17q21.2	AMP	20	816	2.5%	No
SLC33A1		3q25.31	AMP	20	816	2.5%	No
HACD1		10p12.33	AMP	20	816	2.5%	No
ITGBL1	1.232e-2	13q33.1	AMP	20	816	2.5%	No
SPAG6		10p12.2	AMP	20	816	2.5%	No
TTI1		20q11.23	AMP	20	816	2.5%	No
UBE3C		7q36.3	AMP	20	816	2.5%	No
TSC22D2		3q25.1	AMP	20	816	2.5%	No
MAFB		20q12	AMP	20	816	2.5%	Yes
MBNL2	1.232e-2	13q32.1	AMP	20	816	2.5%	No
AKAP8		19p13.12	AMP	20	816	2.5%	No
MARCH6		5p15.2	AMP	20	816	2.5%	No
TUBGCP3	1.232e-2	13q34	AMP	20	816	2.5%	No
TNFSF13B	1.232e-2	13q33.3	AMP	20	816	2.5%	No
KLRA1P		12p13.2	AMP	20	816	2.5%	No
ADAM30		1p12	AMP	20	816	2.5%	No
SLC7A9		19q13.11	AMP	20	816	2.5%	No
ZFP30		19q13.12	AMP	20	816	2.5%	No
KLRK1		12p13.2	AMP	20	816	2.5%	No
KAT6B		10q22.2	AMP	20	816	2.5%	Yes
LEMD3		12q14.3	AMP	20	816	2.5%	No
UBBP4		17p11.2	AMP	20	816	2.5%	No
PAMR1		11p13	AMP	20	816	2.5%	No
TIPARP		3q25.31	AMP	20	816	2.5%	Yes
VPS33B		15q26.1	AMP	20	816	2.5%	No
SNORD44	1.232e-2	1q25.1	AMP	20	816	2.5%	No
OXGR1	1.232e-2	13q32.1	AMP	20	816	2.5%	No
RAB30		11q14.1	AMP	20	816	2.5%	No
EIF3K		19q13.2	AMP	20	816	2.5%	No
OSTM1		6q21	AMP	20	816	2.5%	No
LGALS13		19q13.2	AMP	20	816	2.5%	No
TAS2R9		12p13.2	AMP	20	816	2.5%	No
TAS2R8		12p13.2	AMP	20	816	2.5%	No
TAS2R7		12p13.2	AMP	20	816	2.5%	No
TAS2R10		12p13.2	AMP	20	816	2.5%	No
FAM8A1		6p22.3	AMP	20	816	2.5%	No
WWOX		16q23.1-q23.2	HOMDEL	20	816	2.5%	No
P2RY13		3q25.1	AMP	20	816	2.5%	No
GPR87		3q25.1	AMP	20	816	2.5%	No
PAF1		19q13.2	AMP	20	816	2.5%	No
SAMD4B		19q13.2	AMP	20	816	2.5%	No
MAGOHB		12p13.2	AMP	20	816	2.5%	No
RESF1		12p11.21	AMP	20	816	2.5%	No
STYK1		12p13.2	AMP	20	816	2.5%	No
MED29		19q13.2	AMP	20	816	2.5%	No
ANKRD10	1.232e-2	13q34	AMP	20	816	2.5%	No
NAXD	1.232e-2	13q34	AMP	20	816	2.5%	No
ADAP2		17q11.2	AMP	20	816	2.5%	No
UNC45A		15q26.1	AMP	20	816	2.5%	No
KIAA1217		10p12.2-p12.1	AMP	20	816	2.5%	No
ARNTL2		12p11.23	AMP	20	816	2.5%	No
CCNL1		3q25.31	AMP	20	816	2.5%	No
LYZL6		17q12	AMP	20	816	2.5%	No
ZNF471	2.444e-3	19q13.43	AMP	20	816	2.5%	No
GRAMD1A		19q13.11	AMP	20	816	2.5%	No
ZNF667	2.444e-3	19q13.43	AMP	20	816	2.5%	No
P2RY12		3q25.1	AMP	20	816	2.5%	No
PLEKHG2		19q13.2	AMP	20	816	2.5%	No
IRX1	2.003e-1	5p15.33	AMP	20	816	2.5%	No
CARS2	1.232e-2	13q34	AMP	20	816	2.5%	No
TEFM		17q11.2	AMP	20	816	2.5%	No
RERGL		12p12.3	AMP	20	816	2.5%	No
MINDY3		10p13	AMP	20	816	2.5%	No
TMEM14B		6p24.2	AMP	20	816	2.5%	No
ROPN1L		5p15.2	AMP	20	816	2.5%	No
DTNBP1		6p22.3	AMP	20	816	2.5%	No
RNF135		17q11.2	AMP	20	816	2.5%	No
LLPH		12q14.3	AMP	20	816	2.5%	No
RAB11FIP4		17q11.2	AMP	20	816	2.5%	No
ZNF527		19q13.12	AMP	20	816	2.5%	No
MAK16		8p12	AMP	20	816	2.5%	No
TMTC4	1.232e-2	13q32.3	AMP	20	816	2.5%	No
ABHD13	1.232e-2	13q33.3	AMP	20	816	2.5%	No
ZNF551	2.444e-3	19q13.43	AMP	20	816	2.5%	No
RASL10B		17q12	AMP	20	816	2.5%	No
TDRD12		19q13.11	AMP	20	816	2.5%	No
SPECC1		17p11.2	AMP	20	816	2.5%	No
TM4SF18		3q25.1	AMP	20	816	2.5%	No
FGD4		12p11.21	AMP	20	816	2.5%	No
SPACA7	1.232e-2	13q34	AMP	20	816	2.5%	No
CCDC105		19p13.12	AMP	20	816	2.5%	No
VSTM2L		20q11.23	AMP	20	816	2.5%	No
OTOL1		3q26.1	AMP	20	816	2.5%	No
MACROD2		20p12.1	AMP	20	816	2.5%	No
ZNF542P	2.444e-3	19q13.43	AMP	20	816	2.5%	No
LGALS16		19q13.2	AMP	20	816	2.5%	No
ZNF599		19q13.11	AMP	20	816	2.5%	No
ZNF569		19q13.12	AMP	20	816	2.5%	No
FGD5	3.005e-2	3p25.1	AMP	20	816	2.5%	No
ZNF781		19q13.12	AMP	20	816	2.5%	No
EID2		19q13.2	AMP	20	816	2.5%	No
ZNF780B		19q13.2	AMP	20	816	2.5%	No
ADAMTS16		5p15.32	AMP	20	816	2.5%	No
ZSCAN4	2.444e-3	19q13.43	AMP	20	816	2.5%	No
ARMC3		10p12.2	AMP	20	816	2.5%	No
SLC39A12		10p12.33	AMP	20	816	2.5%	No
KDM1B		6p22.3	AMP	20	816	2.5%	No
RBM24		6p22.3	AMP	20	816	2.5%	No
SMIM13		6p24.2	AMP	20	816	2.5%	No
SYCP2L		6p24.2	AMP	20	816	2.5%	No
AFG1L		6q21	AMP	20	816	2.5%	No
MSRB3		12q14.3	AMP	20	816	2.5%	No
HEATR9		17q12	AMP	20	816	2.5%	No
LINC00567	1.232e-2	13q34	AMP	20	816	2.5%	No
LINC00346	1.232e-2	13q34	AMP	20	816	2.5%	No
FAM27E5		17p11.2	AMP	20	816	2.5%	No
ZNF776	2.444e-3	19q13.43	AMP	20	816	2.5%	No
ZNF875		19q13.12	AMP	20	816	2.5%	No
C3ORF33		3q25.31	AMP	20	816	2.5%	No
LINC02693		17p11.2	AMP	20	816	2.5%	No
ZNF181		19q13.11	AMP	20	816	2.5%	No
ZNF546		19q13.2	AMP	20	816	2.5%	No
LINC00880		3q25.31	AMP	20	816	2.5%	No
LEUTX		19q13.2	AMP	20	816	2.5%	No
HDDC3		15q26.1	AMP	20	816	2.5%	No
NHLRC1		6p22.3	AMP	20	816	2.5%	No
SKIDA1		10p12.31	AMP	20	816	2.5%	No
RGS9BP		19q13.11	AMP	20	816	2.5%	No
NUDT19		19q13.11	AMP	20	816	2.5%	No
CASC10		10p12.31	AMP	20	816	2.5%	No
ATP11AUN	1.232e-2	13q34	AMP	20	816	2.5%	No
LINC01194		5p15.2	AMP	20	816	2.5%	No
TSPAN11		12p11.21	AMP	20	816	2.5%	No
SNORD13		8p12	AMP	20	816	2.5%	No
C12ORF71		12p11.23	AMP	20	816	2.5%	No
TMEM170B		6p24.2	AMP	20	816	2.5%	No
MTND1P15		17p11.2	AMP	20	816	2.5%	No
MTRNR2L1		17p11.2	AMP	20	816	2.5%	No
LINC00881		3q25.31	AMP	20	816	2.5%	No
SOX1-OT	1.232e-2	13q34	AMP	20	816	2.5%	No
RNA5SP37	1.232e-2	13q32.1	AMP	20	816	2.5%	No
RNA5SP39	1.232e-2	13q33.3	AMP	20	816	2.5%	No
RNA5SP146		3q25.31	AMP	20	816	2.5%	No
RNA5SP203		6p24.2	AMP	20	816	2.5%	No
RNA5SP204		6p22.3	AMP	20	816	2.5%	No
RNA5SP304		10p12.2	AMP	20	816	2.5%	No
LINC00404	1.232e-2	13q34	AMP	20	816	2.5%	No
LINC00359	1.232e-2	13q32.1	AMP	20	816	2.5%	No
LINC00354	1.232e-2	13q34	AMP	20	816	2.5%	No
AFP		4q13.3	AMP	19	816	2.3%	No
ALB	3.083e-3	4q13.3	AMP	19	816	2.3%	Yes
ANK3		10q21.2	AMP	19	816	2.3%	No
APBA2	3.435e-15	15q13.1	HOMDEL	19	816	2.3%	No
ARHGAP4		Xq28	AMP	19	816	2.3%	No
AVPR2		Xq28	AMP	19	816	2.3%	No
BCAT1		12p12.1	AMP	19	816	2.3%	No
BMI1		10p12.2	AMP	19	816	2.3%	No
BPI		20q11.23	AMP	19	816	2.3%	No
CLC		19q13.2	AMP	19	816	2.3%	No
FCAR		19q13.42	AMP	19	816	2.3%	No
GLDC		9p24.1	AMP	19	816	2.3%	No
GPI		19q13.11	AMP	19	816	2.3%	No
CXCL2		4q13.3	AMP	19	816	2.3%	No
CXCL3		4q13.3	AMP	19	816	2.3%	No
HMGB1		13q12.3	AMP	19	816	2.3%	No
JAK2		9p24.1	AMP	19	816	2.3%	Yes
KCNC2		12q21.1	AMP	19	816	2.3%	No
KIR2DL1		19q13.42	AMP	19	816	2.3%	No
KIR2DL3		19q13.42	AMP	19	816	2.3%	No
KIR2DL4		19q13.42	AMP	19	816	2.3%	No
KIR2DS4		19q13.42	AMP	19	816	2.3%	No
KIR3DL1		19q13.42	AMP	19	816	2.3%	No
KIR3DL2		19q13.42	AMP	19	816	2.3%	No
KRAS		12p12.1	AMP	19	816	2.3%	Yes
KRT9		17q21.2	AMP	19	816	2.3%	No
KRT14		17q21.2	AMP	19	816	2.3%	No
KRT16		17q21.2	AMP	19	816	2.3%	No
KRT17		17q21.2	AMP	19	816	2.3%	No
L1CAM		Xq28	AMP	19	816	2.3%	No
LAIR2		19q13.42	AMP	19	816	2.3%	No
LRMP		12p12.1	AMP	19	816	2.3%	No
LRP3		19q13.11	AMP	19	816	2.3%	No
TM4SF1		3q25.1	AMP	19	816	2.3%	No
MAG		19q13.12	AMP	19	816	2.3%	No
MAK		6p24.2	AMP	19	816	2.3%	No
MAT1A		10q22.3	AMP	19	816	2.3%	No
NDUFS6	2.003e-1	5p15.33	AMP	19	816	2.3%	No
P2RY1		3q25.2	AMP	19	816	2.3%	No
PEX12		17q12	AMP	19	816	2.3%	No
PFN2		3q25.1	AMP	19	816	2.3%	No
FXYD1		19q13.12	AMP	19	816	2.3%	No
FXYD3		19q13.12	AMP	19	816	2.3%	No
PPBP		4q13.3	AMP	19	816	2.3%	No
PTHLH		12p11.22	AMP	19	816	2.3%	No
PTPRF		1p34.2	AMP	19	816	2.3%	No
PTX3		3q25.32	AMP	19	816	2.3%	No
RAG2		11p12	AMP	19	816	2.3%	No
RARRES1		3q25.32	AMP	19	816	2.3%	No
RBL1		20q11.23	AMP	19	816	2.3%	No
REV3L		6q21	AMP	19	816	2.3%	No
CXCL5		4q13.3	AMP	19	816	2.3%	No
AURKC	2.444e-3	19q13.43	AMP	19	816	2.3%	No
TJP1	3.435e-15	15q13.1	HOMDEL	19	816	2.3%	No
NR2E1		6q21	AMP	19	816	2.3%	No
TPM4		19p13.12-p13.11	AMP	19	816	2.3%	Yes
TRAF6		11p12	AMP	19	816	2.3%	No
USF2		19q13.12	AMP	19	816	2.3%	No
VIPR2		7q36.3	AMP	19	816	2.3%	No
ZNF134	2.444e-3	19q13.43	AMP	19	816	2.3%	No
BHLHE40		3p26.1	AMP	19	816	2.3%	No
KRT38		17q21.2	AMP	19	816	2.3%	No
SNX3		6q21	AMP	19	816	2.3%	No
ARHGEF7	1.232e-2	13q34	AMP	19	816	2.3%	No
CDC16	1.232e-2	13q34	AMP	19	816	2.3%	No
AP1M1		19p13.11	AMP	19	816	2.3%	No
HERC2	3.435e-15	15q13.1	HOMDEL	19	816	2.3%	No
SEMA5A		5p15.31	AMP	19	816	2.3%	No
PRC1		15q26.1	AMP	19	816	2.3%	No
DLG5		10q22.3	AMP	19	816	2.3%	No
SNORD31	1.232e-2	11q12.3	AMP	19	816	2.3%	No
ZNF264	2.444e-3	19q13.43	AMP	19	816	2.3%	No
ITM2B		13q14.2	HOMDEL	19	816	2.3%	No
MTRF1		13q14.11	HOMDEL	19	816	2.3%	No
KIAA0355		19q13.11	AMP	19	816	2.3%	No
DNM1L		12p11.21	AMP	19	816	2.3%	No
GPC6	1.232e-2	13q31.3-q32.1	AMP	19	816	2.3%	No
ZNF256	2.444e-3	19q13.43	AMP	19	816	2.3%	No
EIF1		17q21.2	AMP	19	816	2.3%	No
ZNF211	2.444e-3	19q13.43	AMP	19	816	2.3%	No
DLL3		19q13.2	AMP	19	816	2.3%	No
NRG3		10q23.1	AMP	19	816	2.3%	No
ZNF460	2.444e-3	19q13.43	AMP	19	816	2.3%	No
LILRB1		19q13.42	AMP	19	816	2.3%	No
PPBPP2		4q13.3	AMP	19	816	2.3%	No
LILRA2		19q13.42	AMP	19	816	2.3%	No
BVES		6q21	AMP	19	816	2.3%	No
BAZ1A		14q13.1-q13.2	AMP	19	816	2.3%	No
WIF1		12q14.3	AMP	19	816	2.3%	Yes
AKAP13		15q25.3	AMP	19	816	2.3%	No
RNF13		3q25.1	AMP	19	816	2.3%	No
MSRB2		10p12.2	AMP	19	816	2.3%	No
PLCH1		3q25.31	AMP	19	816	2.3%	No
NCOA6		20q11.22	AMP	19	816	2.3%	No
AVL9		7p14.3	AMP	19	816	2.3%	No
KDM4C		9p24.1	AMP	19	816	2.3%	Yes
FBXL7		5p15.1	AMP	19	816	2.3%	No
USP22	1.480e-1	17p11.2	AMP	19	816	2.3%	No
TBC1D30		12q14.3	AMP	19	816	2.3%	No
FAM189A1	3.435e-15	15q13.1	HOMDEL	19	816	2.3%	No
COMMD3		10p12.2	AMP	19	816	2.3%	No
SAMHD1		20q11.23	AMP	19	816	2.3%	Yes
FAM32A		19p13.11	AMP	19	816	2.3%	No
ARHGEF26		3q25.2	AMP	19	816	2.3%	No
ELP4		11p13	AMP	19	816	2.3%	No
AKAP8L		19p13.12	AMP	19	816	2.3%	No
ZNF544	2.444e-3	19q13.43	AMP	19	816	2.3%	No
MYLIP		6p22.3	AMP	19	816	2.3%	No
CD274		9p24.1	AMP	19	816	2.3%	Yes
IRX4	2.003e-1	5p15.33	AMP	19	816	2.3%	No
TAS2R1		5p15.31	AMP	19	816	2.3%	No
GP6	2.444e-3	19q13.42	AMP	19	816	2.3%	No
ZNF571		19q13.12	AMP	19	816	2.3%	No
ERGIC2		12p11.22	AMP	19	816	2.3%	No
DCDC2		6p22.3	AMP	19	816	2.3%	No
LSR		19q13.12	AMP	19	816	2.3%	No
FXYD7		19q13.12	AMP	19	816	2.3%	No
FXYD5		19q13.12	AMP	19	816	2.3%	No
OTULINL		5p15.2	AMP	19	816	2.3%	No
NCAPG2		7q36.3	AMP	19	816	2.3%	No
ELOVL2		6p24.2	AMP	19	816	2.3%	No
BANP		16q24.2	HOMDEL	19	816	2.3%	No
GPATCH1		19q13.11	AMP	19	816	2.3%	No
WDR60		7q36.3	AMP	19	816	2.3%	No
LRRC1		6p12.1	AMP	19	816	2.3%	No
CASC1		12p12.1	AMP	19	816	2.3%	No
COPRS		17q11.2	AMP	19	816	2.3%	No
ETNK1		12p12.1	AMP	19	816	2.3%	Yes
UTP6		17q11.2	AMP	19	816	2.3%	No
PLGRKT		9p24.1	AMP	19	816	2.3%	No
ZNF302		19q13.11	AMP	19	816	2.3%	No
NSMCE3	3.435e-15	15q13.1	HOMDEL	19	816	2.3%	No
ANKH		5p15.2	AMP	19	816	2.3%	No
SLC7A10		19q13.11	AMP	19	816	2.3%	No
LGALS14		19q13.2	AMP	19	816	2.3%	No
ESYT2		7q36.3	AMP	19	816	2.3%	No
SHROOM3		4q21.1	AMP	19	816	2.3%	No
USP29	2.444e-3	19q13.43	AMP	19	816	2.3%	No
HAMP		19q13.12	AMP	19	816	2.3%	No
TP53INP2		20q11.22	AMP	19	816	2.3%	No
ZNF71	2.444e-3	19q13.43	AMP	19	816	2.3%	No
EPS15L1		19p13.11	AMP	19	816	2.3%	No
WIZ		19p13.12	AMP	19	816	2.3%	No
CCDC90B		11q14.1	AMP	19	816	2.3%	No
DHX35		20q11.23-q12	AMP	19	816	2.3%	No
POPDC3		6q21	AMP	19	816	2.3%	No
KLHL25		15q25.3	AMP	19	816	2.3%	No
LPIN3		20q12	AMP	19	816	2.3%	No
RASAL3		19p13.12	AMP	19	816	2.3%	No
MRPL36	2.003e-1	5p15.33	AMP	19	816	2.3%	No
UPF3A	1.232e-2	13q34	AMP	19	816	2.3%	No
MMP28		17q12	AMP	19	816	2.3%	No
VEPH1		3q25.31-q25.32	AMP	19	816	2.3%	No
RNF122		8p12	AMP	19	816	2.3%	No
LPCAT1	2.003e-1	5p15.33	AMP	19	816	2.3%	No
ZNF671	2.444e-3	19q13.43	AMP	19	816	2.3%	No
PRR5L		11p13-p12	AMP	19	816	2.3%	No
ZNF606	2.444e-3	19q13.43	AMP	19	816	2.3%	No
ARL14		3q25.33	AMP	19	816	2.3%	No
PDCD1LG2		9p24.1	AMP	19	816	2.3%	Yes
FAM83D		20q11.23	AMP	19	816	2.3%	No
TSPAN14		10q23.1	AMP	19	816	2.3%	No
KATNAL1		13q12.3	AMP	19	816	2.3%	No
C3ORF20	3.005e-2	3p25.1	AMP	19	816	2.3%	No
ZNF587	2.444e-3	19q13.43	AMP	19	816	2.3%	No
KIAA1755		20q11.23	AMP	19	816	2.3%	No
GGACT	1.232e-2	13q32.3	AMP	19	816	2.3%	No
CHRFAM7A	3.435e-15	15q13.2	HOMDEL	19	816	2.3%	No
ULK4P3	3.435e-15	15q13.2	HOMDEL	19	816	2.3%	No
ARHGAP11B	3.435e-15	15q13.2	HOMDEL	19	816	2.3%	No
TPD52L3		9p24.1	AMP	19	816	2.3%	No
KIR3DX1		19q13.42	AMP	19	816	2.3%	No
ZNF30		19q13.11	AMP	19	816	2.3%	No
EMILIN3		20q12	AMP	19	816	2.3%	No
OTULIN		5p15.2	AMP	19	816	2.3%	No
ZNF835	2.444e-3	19q13.43	AMP	19	816	2.3%	No
IL33		9p24.1	AMP	19	816	2.3%	No
RCCD1		15q26.1	AMP	19	816	2.3%	No
TIMM50		19q13.2	AMP	19	816	2.3%	No
UHRF2		9p24.1	AMP	19	816	2.3%	No
KIR3DL3		19q13.42	AMP	19	816	2.3%	No
TEX29	1.232e-2	13q34	AMP	19	816	2.3%	No
WDR88		19q13.11	AMP	19	816	2.3%	No
EID2B		19q13.2	AMP	19	816	2.3%	No
ZNF792		19q13.11	AMP	19	816	2.3%	No
SNHG11		20q11.23	AMP	19	816	2.3%	No
ZFP28	2.444e-3	19q13.43	AMP	19	816	2.3%	No
NRSN1		6p22.3	AMP	19	816	2.3%	No
ETFRF1		12p12.1	AMP	19	816	2.3%	No
MIPOL1	1.442e-3	14q13.3-q21.1	AMP	19	816	2.3%	No
C17ORF50		17q12	AMP	19	816	2.3%	No
SMIM17	2.444e-3	19q13.43	AMP	19	816	2.3%	No
C19ORF18	2.444e-3	19q13.43	AMP	19	816	2.3%	No
ZNF418	2.444e-3	19q13.43	AMP	19	816	2.3%	No
ZNF417	2.444e-3	19q13.43	AMP	19	816	2.3%	No
ZNF582	2.444e-3	19q13.43	AMP	19	816	2.3%	No
ZNF583	2.444e-3	19q13.43	AMP	19	816	2.3%	No
FAM187B		19q13.12	AMP	19	816	2.3%	No
CDC42EP5		19q13.42	AMP	19	816	2.3%	No
ZNF570		19q13.12	AMP	19	816	2.3%	No
LINC00689		7q36.3	AMP	19	816	2.3%	No
LGI4		19q13.12|19q13.11	AMP	19	816	2.3%	No
DHX36		3q25.2	AMP	19	816	2.3%	No
C12ORF77		12p12.1	AMP	19	816	2.3%	No
GAS2L2		17q12	AMP	19	816	2.3%	No
PTF1A		10p12.2	AMP	19	816	2.3%	No
C10ORF67		10p12.2	AMP	19	816	2.3%	No
NALCN	1.232e-2	13q32.3-q33.1	AMP	19	816	2.3%	No
HS6ST3	1.232e-2	13q32.1	AMP	19	816	2.3%	No
CHAMP1	1.232e-2	13q34	AMP	19	816	2.3%	No
GOLGA8G	3.435e-15	15q13.1	HOMDEL	19	816	2.3%	No
KRT42P		17q21.2	AMP	19	816	2.3%	No
SCGB2B2		19q13.11	AMP	19	816	2.3%	No
SUMF1		3p26.1	AMP	19	816	2.3%	No
ANKRD42		11q14.1	AMP	19	816	2.3%	No
MALRD1		10p12.31	AMP	19	816	2.3%	No
EBLN1		10p12.31	AMP	19	816	2.3%	No
SMCO2		12p11.23	AMP	19	816	2.3%	No
OVCH1		12p11.22	AMP	19	816	2.3%	No
SLFN14		17q12	AMP	19	816	2.3%	No
ARHGAP40		20q11.23	AMP	19	816	2.3%	No
GPR149		3q25.2	AMP	19	816	2.3%	No
SELENOV		19q13.2	AMP	19	816	2.3%	No
C10ORF113		10p12.31	AMP	19	816	2.3%	No
ANKUB1		3q25.1	AMP	19	816	2.3%	No
ZNF805	2.444e-3	19q13.43	AMP	19	816	2.3%	No
LGALS17A		19q13.2	AMP	19	816	2.3%	No
STMND1		6p22.3	AMP	19	816	2.3%	No
HERC2P9	3.435e-15	15q13.1	HOMDEL	19	816	2.3%	No
WHAMMP2	3.435e-15	15q13.1	HOMDEL	19	816	2.3%	No
MTHFD2L		4q13.3	AMP	19	816	2.3%	No
MARCH11		5p15.1	AMP	19	816	2.3%	No
LINC00622		1p12	AMP	19	816	2.3%	No
GOLGA8J	3.435e-15	15q13.2	HOMDEL	19	816	2.3%	No
GOLGA8T	3.435e-15	15q13.2	HOMDEL	19	816	2.3%	No
GOLGA8M	3.435e-15	15q13.1	HOMDEL	19	816	2.3%	No
SNORA60		20q11.23	AMP	19	816	2.3%	No
SNORD7		17q12	AMP	19	816	2.3%	No
GOLGA8Q	3.435e-15	15q13.2	HOMDEL	19	816	2.3%	No
GOLGA6L7	3.435e-15	15q13.1	HOMDEL	19	816	2.3%	No
GOLGA8H	3.435e-15	15q13.2	HOMDEL	19	816	2.3%	No
