Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
SUN5		20q11.21	AMP	42	2173	1.9%	No
SIRPA		20p13	AMP	42	2173	1.9%	No
TMEM190		19q13.42	AMP	42	2173	1.9%	No
ZNF420		19q13.12	AMP	42	2173	1.9%	No
DPY19L3		19q13.11	AMP	42	2173	1.9%	No
SHLD1		20p12.3	AMP	42	2173	1.9%	No
COMMD7		20q11.21	AMP	42	2173	1.9%	No
RNF217		6q22.31	AMP	42	2173	1.9%	No
ZNF585A		19q13.12	AMP	42	2173	1.9%	No
NIBAN3		19p13.11	AMP	42	2173	1.9%	No
ZNF804B		7q21.13	AMP	42	2173	1.9%	No
FOLH1B		11q14.3	AMP	42	2173	1.9%	No
WAC-AS1		10p12.1	AMP	42	2173	1.9%	No
KDM1B		6p22.3	AMP	42	2173	1.9%	No
VSTM2A		7p11.2	AMP	42	2173	1.9%	No
GAS2L2		17q12	AMP	42	2173	1.9%	No
TAS2R39		7q34	AMP	42	2173	1.9%	No
TAS2R40		7q34	AMP	42	2173	1.9%	No
TAS2R41		7q35	AMP	42	2173	1.9%	No
C10ORF126		10p12.1	AMP	42	2173	1.9%	No
TRHDE-AS1		12q21.1	AMP	42	2173	1.9%	No
FAM71E2		19q13.42	AMP	42	2173	1.9%	No
TAS2R60		7q35	AMP	42	2173	1.9%	No
SLCO1B7		12p12.2	AMP	42	2173	1.9%	No
COL28A1		7p21.3	AMP	42	2173	1.9%	No
SLC35F4		14q22.3-q23.1	AMP	42	2173	1.9%	No
TGM6		20p13	AMP	42	2173	1.9%	No
OR6V1		7q34	AMP	42	2173	1.9%	No
GPR141		7p14.1	AMP	42	2173	1.9%	No
GSTK1		7q34	AMP	42	2173	1.9%	No
ZNF568		19q13.12	AMP	42	2173	1.9%	No
FAM238C		10p12.1	AMP	42	2173	1.9%	No
LRRC37A6P		10p12.1	AMP	42	2173	1.9%	No
SPATA41		15q26.3	AMP	42	2173	1.9%	No
TRIM77		11q14.3	AMP	42	2173	1.9%	No
MTHFD2L		4q13.3	AMP	42	2173	1.9%	No
DPY19L2P4		7q21.13	AMP	42	2173	1.9%	No
ALG1L2		3q22.1	HOMDEL	42	2173	1.9%	No
STMP1		7q33	AMP	42	2173	1.9%	No
LINC00460		13q33.2	AMP	42	2173	1.9%	No
FAM47E		4q21.1	AMP	42	2173	1.9%	No
KLLN		10q23.31	HOMDEL	42	2173	1.9%	No
LMCD1-AS1		3p25.3	AMP	42	2173	1.9%	No
MOXD2P		7q34	AMP	42	2173	1.9%	No
SYNE1-AS1		6q25.2	AMP	42	2173	1.9%	No
PARD3-AS1		10p11.21	AMP	42	2173	1.9%	No
FAM47E-STBD1		4q21.1	AMP	42	2173	1.9%	No
LINC00443		13q33.3	AMP	42	2173	1.9%	No
CBR1		21q22.12	AMP	41	2173	1.9%	No
CBR3		21q22.12	AMP	41	2173	1.9%	No
CTSC		11q14.2	AMP	41	2173	1.9%	No
CHGB		20p12.3	AMP	41	2173	1.9%	No
COMP		19p13.11	AMP	41	2173	1.9%	No
CYP2E1		10q26.3	AMP	41	2173	1.9%	No
DNMT3B		20q11.21	AMP	41	2173	1.9%	Yes
DSP		6p24.3	AMP	41	2173	1.9%	No
FKBP3		14q21.2	AMP	41	2173	1.9%	No
GDF1		19p13.11	AMP	41	2173	1.9%	No
GRM5		11q14.2-q14.3	AMP	41	2173	1.9%	No
CXCL3		4q13.3	AMP	41	2173	1.9%	No
GSR		8p12	AMP	41	2173	1.9%	No
HSF2		6q22.31	AMP	41	2173	1.9%	No
KCNE1		21q22.12	AMP	41	2173	1.9%	No
KCNJ8		12p12.1	AMP	41	2173	1.9%	No
LDHB		12p12.1	AMP	41	2173	1.9%	No
MYOD1		11p15.1	AMP	41	2173	1.9%	Yes
PDE4C		19p13.11	AMP	41	2173	1.9%	No
PF4		4q13.3	AMP	41	2173	1.9%	No
ABCB4		7q21.12	AMP	41	2173	1.9%	No
PPBP		4q13.3	AMP	41	2173	1.9%	No
PPP2CB		8p12	AMP	41	2173	1.9%	No
MAP2K3		17p11.2	AMP	41	2173	1.9%	No
PSMC6		14q22.1	AMP	41	2173	1.9%	No
RAB3A		19p13.11	AMP	41	2173	1.9%	No
RECQL		12p12.1	AMP	41	2173	1.9%	Yes
UPF1		19p13.11	AMP	41	2173	1.9%	Yes
RFX3		9p24.2	AMP	41	2173	1.9%	No
RPL18A		19p13.11	AMP	41	2173	1.9%	No
SLC5A5		19p13.11	AMP	41	2173	1.9%	No
SNRPB		20p13	AMP	41	2173	1.9%	No
SP2		17q21.32	AMP	41	2173	1.9%	No
SSR1		6p24.3	AMP	41	2173	1.9%	No
SSTR1		14q21.1	AMP	41	2173	1.9%	No
STYX		14q22.1	AMP	41	2173	1.9%	No
TCF15		20p13	AMP	41	2173	1.9%	No
TGM3		20p13	AMP	41	2173	1.9%	No
TYR		11q14.3	AMP	41	2173	1.9%	No
USP1		1p31.3	AMP	41	2173	1.9%	No
VLDLR		9p24.2	AMP	41	2173	1.9%	No
WRN		8p12	AMP	41	2173	1.9%	Yes
UBXN8		8p12	AMP	41	2173	1.9%	No
ELL		19p13.11	AMP	41	2173	1.9%	Yes
NRIP1		21q11.2-q21.1	AMP	41	2173	1.9%	No
TMEM11		17p11.2	AMP	41	2173	1.9%	No
CDKL2		4q21.1	AMP	41	2173	1.9%	No
G3BP2		4q21.1	AMP	41	2173	1.9%	No
PRMT3		11p15.1	AMP	41	2173	1.9%	No
RAMP3		7p13	AMP	41	2173	1.9%	No
TRDN		6q22.31	AMP	41	2173	1.9%	No
IFI30		19p13.11	AMP	41	2173	1.9%	No
IPO8		12p11.21	AMP	41	2173	1.9%	No
HTATIP2		11p15.1	AMP	41	2173	1.9%	No
DMRT2		9p24.3	AMP	41	2173	1.9%	No
CERS1		19p13.11	AMP	41	2173	1.9%	No
PPBPP2		4q13.3	AMP	41	2173	1.9%	No
COPE		19p13.11	AMP	41	2173	1.9%	No
CHSY1		15q26.3	AMP	41	2173	1.9%	No
RALY		20q11.22	AMP	41	2173	1.9%	No
MAPRE1		20q11.21	AMP	41	2173	1.9%	No
UNC13A		19p13.11	AMP	41	2173	1.9%	No
SYNE1		6q25.2	AMP	41	2173	1.9%	No
CRTC1		19p13.11	AMP	41	2173	1.9%	Yes
NUDCD3		7p13	AMP	41	2173	1.9%	No
SUZ12		17q11.2	AMP	41	2173	1.9%	Yes
LEMD3		12q14.3	AMP	41	2173	1.9%	No
LSM4		19p13.11	AMP	41	2173	1.9%	No
OR2F1		7q35	AMP	41	2173	1.9%	No
SLC13A4		7q33	AMP	41	2173	1.9%	No
OR7C1		19p13.12	AMP	41	2173	1.9%	No
SNORA68		19p13.11	AMP	41	2173	1.9%	No
TMEM176B		7q36.1	AMP	41	2173	1.9%	No
NXPH1		7p21.3	AMP	41	2173	1.9%	No
GOLT1B		12p12.1	AMP	41	2173	1.9%	No
ZNF691		1p34.2	AMP	41	2173	1.9%	No
WAC		10p12.1|10p12.1-p11.2	AMP	41	2173	1.9%	No
SETD4		21q22.12	AMP	41	2173	1.9%	Yes
ZDHHC13		11p15.1	AMP	41	2173	1.9%	No
L1TD1		1p31.3	AMP	41	2173	1.9%	No
CROT		7q21.12	AMP	41	2173	1.9%	No
CHCHD3		7q32.3-q33	AMP	41	2173	1.9%	No
PRPF39		14q21.2	AMP	41	2173	1.9%	No
ARGLU1		13q33.3	AMP	41	2173	1.9%	No
ADAP2		17q11.2	AMP	41	2173	1.9%	No
RAD18		3p25.3	AMP	41	2173	1.9%	No
C1GALT1		7p22.1-p21.3	AMP	41	2173	1.9%	No
TRIM49		11q14.3	AMP	41	2173	1.9%	No
KIAA1147		7q34	AMP	41	2173	1.9%	No
NHSL1		6q24.1	AMP	41	2173	1.9%	No
LINC00869		1q21.2	HOMDEL	41	2173	1.9%	No
SERINC1		6q22.31	AMP	41	2173	1.9%	No
FANCM		14q21.2	AMP	41	2173	1.9%	No
ANO8		19p13.11	AMP	41	2173	1.9%	No
PERP		6q23.3	AMP	41	2173	1.9%	No
GNPNAT1		14q22.1	AMP	41	2173	1.9%	No
CAPRIN2		12p11.21	AMP	41	2173	1.9%	No
TTC26		7q34	AMP	41	2173	1.9%	No
NUBPL		14q12	AMP	41	2173	1.9%	No
KDM7A		7q34	AMP	41	2173	1.9%	No
TTC25		17q21.2	AMP	41	2173	1.9%	No
RIOK1		6p24.3	AMP	41	2173	1.9%	No
BRSK1		19q13.42	AMP	41	2173	1.9%	Yes
GTPBP3		19p13.11	AMP	41	2173	1.9%	No
MPV17L2		19p13.11	AMP	41	2173	1.9%	No
POLR2J4		7p13	AMP	41	2173	1.9%	No
RHPN2		19q13.11	AMP	41	2173	1.9%	No
GTPBP10		7q21.13	AMP	41	2173	1.9%	No
PLCZ1		12p12.3	AMP	41	2173	1.9%	No
CAPZA3		12p12.3	AMP	41	2173	1.9%	No
ERMAP		1p34.2	AMP	41	2173	1.9%	No
CCDC124		19p13.11	AMP	41	2173	1.9%	No
OR6B1		7q35	AMP	41	2173	1.9%	No
OR2F2		7q35	AMP	41	2173	1.9%	No
THAP6		4q21.1	AMP	41	2173	1.9%	No
ODAPH		4q21.1	AMP	41	2173	1.9%	No
SNRNP48		6p24.3	AMP	41	2173	1.9%	No
RUNDC3B		7q21.12	AMP	41	2173	1.9%	No
ZNF596		8p23.3	AMP	41	2173	1.9%	No
KCNV2		9p24.2	AMP	41	2173	1.9%	No
ZNF675		19p12	AMP	41	2173	1.9%	No
METTL21C		13q33.1	AMP	41	2173	1.9%	No
C7ORF33		7q36.1	AMP	41	2173	1.9%	No
LINC00957		7p13	AMP	41	2173	1.9%	No
EPGN		4q13.3	AMP	41	2173	1.9%	No
LINC00551		13q33.3	AMP	41	2173	1.9%	No
SCGB2B2		19q13.11	AMP	41	2173	1.9%	No
CAGE1		6p24.3	AMP	41	2173	1.9%	No
SPDYE1		7p13	AMP	41	2173	1.9%	No
BLACE		7q36.3	AMP	41	2173	1.9%	No
ZNF181		19q13.11	AMP	41	2173	1.9%	No
CCDC158		4q21.1	AMP	41	2173	1.9%	No
AGBL3		7q33	AMP	41	2173	1.9%	No
OR2A12		7q35	AMP	41	2173	1.9%	No
BPIFB3		20q11.21	AMP	41	2173	1.9%	No
FAM180A		7q33	AMP	41	2173	1.9%	No
OR2A25		7q35	AMP	41	2173	1.9%	No
OR2A5		7q35	AMP	41	2173	1.9%	No
RASA4CP		7p13	AMP	41	2173	1.9%	No
RAB19		7q34	AMP	41	2173	1.9%	No
SLC2A1-AS1		1p34.2	AMP	41	2173	1.9%	No
OR2A2		7q35	AMP	41	2173	1.9%	No
SNORD119		20p13	AMP	41	2173	1.9%	No
SNORD127		14q21.2	AMP	41	2173	1.9%	No
KDM7A-DT		7q34	AMP	41	2173	1.9%	No
SMIM18		8p12	AMP	41	2173	1.9%	No
LINC00411		13q32.3	AMP	41	2173	1.9%	No
DENND5B-AS1		12p11.21	AMP	41	2173	1.9%	No
AOC1		7q36.1	AMP	40	2173	1.8%	No
ADCY1		7p12.3	AMP	40	2173	1.8%	No
AEBP1		7p13	AMP	40	2173	1.8%	No
CAV3		3p25.3	AMP	40	2173	1.8%	No
CD22		19q13.12	AMP	40	2173	1.8%	Yes
CTSW		11q13.1	AMP	40	2173	1.8%	No
CXADR		21q21.1	AMP	40	2173	1.8%	No
EREG		4q13.3	AMP	40	2173	1.8%	No
FABP7		6q22.31	AMP	40	2173	1.8%	No
FLT4		5q35.3	AMP	40	2173	1.8%	Yes
GCK		7p13	AMP	40	2173	1.8%	No
FFAR1		19q13.12	AMP	40	2173	1.8%	No
FFAR3		19q13.12	AMP	40	2173	1.8%	No
GYS2		12p12.1	AMP	40	2173	1.8%	No
HTR5A		7q36.2	AMP	40	2173	1.8%	No
INSIG1		7q36.3	AMP	40	2173	1.8%	No
JAK3		19p13.11	AMP	40	2173	1.8%	Yes
KCNC1		11p15.1	AMP	40	2173	1.8%	No
BORCS8-MEF2B		19p13.11	AMP	40	2173	1.8%	No
MAP3K5		6q23.3	AMP	40	2173	1.8%	No
RAB8A		19p13.11	AMP	40	2173	1.8%	No
MGST1		12p12.3	AMP	40	2173	1.8%	No
NDUFB2		7q34	AMP	40	2173	1.8%	No
NDUFB7		19p13.12	AMP	40	2173	1.8%	No
YBX1		1p34.2	AMP	40	2173	1.8%	No
PGAM2		7p13	AMP	40	2173	1.8%	No
POLD2		7p13	AMP	40	2173	1.8%	No
MAPK9		5q35.3	AMP	40	2173	1.8%	No
TMPRSS15		21q21.1	AMP	40	2173	1.8%	No
PSG11		19q13.31	HOMDEL	40	2173	1.8%	No
PURB		7p13	AMP	40	2173	1.8%	No
RPS9		19q13.42	AMP	40	2173	1.8%	No
ST3GAL3		1p34.1	AMP	40	2173	1.8%	No
SLC2A1		1p34.2	AMP	40	2173	1.8%	No
TPM4		19p13.12-p13.11	AMP	40	2173	1.8%	Yes
TPP2		13q33.1	AMP	40	2173	1.8%	No
FOSL1		11q13.1	AMP	40	2173	1.8%	No
MGAM		7q34	AMP	40	2173	1.8%	Yes
MAP7		6q23.3	AMP	40	2173	1.8%	No
PDCD5		19q13.11	AMP	40	2173	1.8%	No
SLC6A5		11p15.1	AMP	40	2173	1.8%	No
FIBP		11q13.1	AMP	40	2173	1.8%	No
TBRG4		7p13	AMP	40	2173	1.8%	No
ITGBL1		13q33.1	AMP	40	2173	1.8%	No
GDF15		19p13.11	AMP	40	2173	1.8%	No
EEF1E1		6p24.3	AMP	40	2173	1.8%	No
TECR		19p13.12	AMP	40	2173	1.8%	No
KDM4A		1p34.2-p34.1	AMP	40	2173	1.8%	No
AP5Z1		7p22.1	AMP	40	2173	1.8%	No
GFPT2		5q35.3	AMP	40	2173	1.8%	No
KCNE2		21q22.11	AMP	40	2173	1.8%	No
SUGP2		19p13.11	AMP	40	2173	1.8%	No
MBNL2		13q32.1	AMP	40	2173	1.8%	No
FARP1		13q32.2	AMP	40	2173	1.8%	No
SLC25A13		7q21.3	AMP	40	2173	1.8%	No
RACK1		5q35.3	AMP	40	2173	1.8%	No
TMEM147		19q13.12	AMP	40	2173	1.8%	No
PPIH		1p34.2	AMP	40	2173	1.8%	No
NPFFR2		4q13.3	AMP	40	2173	1.8%	No
SMPDL3A		6q22.31	AMP	40	2173	1.8%	No
DBF4		7q21.12	AMP	40	2173	1.8%	No
BTG3		21q21.1	AMP	40	2173	1.8%	No
CCDC85B		11q13.1	AMP	40	2173	1.8%	No
WIF1		12q14.3	AMP	40	2173	1.8%	Yes
TP53TG1		7q21.12	AMP	40	2173	1.8%	No
NACAD		7p13	AMP	40	2173	1.8%	No
COBL		7p12.1	AMP	40	2173	1.8%	No
HEBP2		6q24.1	AMP	40	2173	1.8%	No
MKRN1		7q34	AMP	40	2173	1.8%	No
BAMBI		10p12.1	AMP	40	2173	1.8%	No
RCHY1		4q21.1	AMP	40	2173	1.8%	No
LSM14A		19q13.11	AMP	40	2173	1.8%	No
SERGEF		11p15.1	AMP	40	2173	1.8%	No
GAPDHS		19q13.12	AMP	40	2173	1.8%	No
OR4F4		15q26.3	AMP	40	2173	1.8%	No
SNORD41		19p13.13	AMP	40	2173	1.8%	No
CPAMD8		19p13.11	AMP	40	2173	1.8%	No
EIF3K		19q13.2	AMP	40	2173	1.8%	No
POLM		7p13	AMP	40	2173	1.8%	No
DBNL		7p13	AMP	40	2173	1.8%	No
WDR91		7q33	AMP	40	2173	1.8%	No
UBE2D4		7p13	AMP	40	2173	1.8%	No
ADAM22		7q21.12	AMP	40	2173	1.8%	No
CLIC6		21q22.12	AMP	40	2173	1.8%	No
DDX49		19p13.11	AMP	40	2173	1.8%	No
BNC2		9p22.3-p22.2	AMP	40	2173	1.8%	No
PGPEP1		19p13.11	AMP	40	2173	1.8%	No
SLFN12		17q12	AMP	40	2173	1.8%	No
MTPAP		10p11.23	AMP	40	2173	1.8%	No
TMEM140		7q33	AMP	40	2173	1.8%	No
KLHL26		19p13.11	AMP	40	2173	1.8%	No
ZNF331		19q13.42	AMP	40	2173	1.8%	Yes
SOX6		11p15.2	AMP	40	2173	1.8%	No
URGCP		7p13	AMP	40	2173	1.8%	No
COA1		7p13	AMP	40	2173	1.8%	No
AGK		7q34	AMP	40	2173	1.8%	No
ZNF302		19q13.11	AMP	40	2173	1.8%	No
SLC25A40		7q21.12	AMP	40	2173	1.8%	No
EBF4		20p13	AMP	40	2173	1.8%	No
MYL7		7p13	AMP	40	2173	1.8%	No
HIVEP3		1p34.2	AMP	40	2173	1.8%	No
PBOV1		6q23.3	AMP	40	2173	1.8%	No
MYO1G		7p13	AMP	40	2173	1.8%	No
NPAS3		14q13.1	AMP	40	2173	1.8%	No
CHST8		19q13.11	AMP	40	2173	1.8%	No
ZSWIM4		19p13.13-p13.12	AMP	40	2173	1.8%	No
CYREN		7q33	AMP	40	2173	1.8%	No
KCTD15		19q13.11	AMP	40	2173	1.8%	No
C1ORF50		1p34.2	AMP	40	2173	1.8%	No
PPCS		1p34.2	AMP	40	2173	1.8%	No
FAM110A		20p13	AMP	40	2173	1.8%	No
CCM2		7p13	AMP	40	2173	1.8%	No
SYT15		10q11.22	AMP	40	2173	1.8%	No
ZMYND12		1p34.2	AMP	40	2173	1.8%	No
FBXW9		19p13.13	AMP	40	2173	1.8%	No
CARD11		7p22.2	AMP	40	2173	1.8%	Yes
ZNF333		19p13.12	AMP	40	2173	1.8%	No
MCM8		20p12.3	AMP	40	2173	1.8%	No
ALKBH6		19q13.12	AMP	40	2173	1.8%	No
SCRT2		20p13	AMP	40	2173	1.8%	No
DMAC1		9p24.1	AMP	40	2173	1.8%	No
ADAMTSL1		9p22.2-p22.1	AMP	40	2173	1.8%	No
DMKN		19q13.12	AMP	40	2173	1.8%	No
ARMC6		19p13.11	AMP	40	2173	1.8%	No
SLC52A3		20p13	AMP	40	2173	1.8%	No
MRGPRX2		11p15.1	AMP	40	2173	1.8%	No
TRIM64		11q14.3	AMP	40	2173	1.8%	No
OR2A14		7q35	AMP	40	2173	1.8%	No
BPIFA2		20q11.21	AMP	40	2173	1.8%	No
SRXN1		20p13	AMP	40	2173	1.8%	No
SLFN13		17q12	AMP	40	2173	1.8%	No
ZNF599		19q13.11	AMP	40	2173	1.8%	No
LINC00905		19p13.12	AMP	40	2173	1.8%	No
CLDN19		1p34.2	AMP	40	2173	1.8%	No
BPIFB4		20q11.21	AMP	40	2173	1.8%	No
ZNF746		7q36.1	AMP	40	2173	1.8%	No
SYNE4		19q13.12	AMP	40	2173	1.8%	No
FYB2		1p32.2	AMP	40	2173	1.8%	No
TEX47		7q21.13	AMP	40	2173	1.8%	No
FOXK1		7p22.1	AMP	40	2173	1.8%	No
UBN2		7q34	AMP	40	2173	1.8%	No
NALCN		13q32.3-q33.1	AMP	40	2173	1.8%	No
DAOA-AS1		13q33.2|13q34	AMP	40	2173	1.8%	No
MKX		10p12.1	AMP	40	2173	1.8%	No
SNHG15		7p13	AMP	40	2173	1.8%	No
WEE2-AS1		7q34	AMP	40	2173	1.8%	No
STRA8		7q33	AMP	40	2173	1.8%	No
ZNF710		15q26.1	AMP	40	2173	1.8%	No
CLEC17A		19p13.12	AMP	40	2173	1.8%	No
RGS9BP		19q13.11	AMP	40	2173	1.8%	No
OR4F6		15q26.3	AMP	40	2173	1.8%	No
OR4F15		15q26.3	AMP	40	2173	1.8%	No
TRIM49D1		11q14.3	AMP	40	2173	1.8%	No
DDX12P		12p13.31	AMP	40	2173	1.8%	No
FAM183A		1p34.2	AMP	40	2173	1.8%	No
OR4F21		8p23.3	AMP	40	2173	1.8%	No
WEE2		7q34	AMP	40	2173	1.8%	No
DPRXP4		17q11.2	AMP	40	2173	1.8%	No
SEPTIN7P2		7p12.3	AMP	40	2173	1.8%	No
TRIM64B		11q14.3	AMP	40	2173	1.8%	No
TRIM53AP		11q14.3	AMP	40	2173	1.8%	No
CCDC168		13q33.1	AMP	40	2173	1.8%	No
SDHAF1		19q13.12	AMP	40	2173	1.8%	No
RPL23AP53		8p23.3	AMP	40	2173	1.8%	No
SNORA5A		7p13	AMP	40	2173	1.8%	No
SNORA5B		7p13	AMP	40	2173	1.8%	No
SNORA5C		7p13	AMP	40	2173	1.8%	No
CCDC30		1p34.2	AMP	40	2173	1.8%	No
SLC15A5		12p12.3	AMP	40	2173	1.8%	No
HTR5A-AS1		7q36.2	AMP	40	2173	1.8%	No
KDM4A-AS1		1p34.2-p34.1	AMP	40	2173	1.8%	No
MEF2B		19p13.11	AMP	40	2173	1.8%	Yes
LINC00838		10p11.22	AMP	40	2173	1.8%	No
EEF1E1-BLOC1S5		6p24.3	AMP	40	2173	1.8%	No
URGCP-MRPS24		7p13	AMP	40	2173	1.8%	No
GRM5-AS1		11q14.2	AMP	40	2173	1.8%	No
FAM243A		21q22.12	AMP	40	2173	1.8%	No
AREG		4q13.3	AMP	39	2173	1.8%	No
ART4		12p12.3	AMP	39	2173	1.8%	No
BLVRA		7p13	AMP	39	2173	1.8%	No
CD36		7q21.11	AMP	39	2173	1.8%	Yes
CDK5		7q36.1	AMP	39	2173	1.8%	No
CNP		17q21.2	AMP	39	2173	1.8%	No
MAP3K8		10p11.23	AMP	39	2173	1.8%	No
NCAN		19p13.11	AMP	39	2173	1.8%	No
DHPS		19p13.13	AMP	39	2173	1.8%	No
FGF14		13q33.1	AMP	39	2173	1.8%	Yes
FOXD4		9p24.3	AMP	39	2173	1.8%	No
GC		4q13.3	AMP	39	2173	1.8%	No
GNAI1		7q21.11	AMP	39	2173	1.8%	No
HSD3B1		1p12	AMP	39	2173	1.8%	Yes
DNAJB1		19p13.12	AMP	39	2173	1.8%	Yes
IGFBP1		7p12.3	AMP	39	2173	1.8%	No
IGFBP3		7p12.3	AMP	39	2173	1.8%	No
INSL3		19p13.11	AMP	39	2173	1.8%	No
JAK2		9p24.1	AMP	39	2173	1.8%	Yes
KCNH2		7q36.1	AMP	39	2173	1.8%	No
MAN2B1		19p13.13	AMP	39	2173	1.8%	No
NCAM2		21q21.1	AMP	39	2173	1.8%	No
NOS3		7q36.1	AMP	39	2173	1.8%	No
PCCA		13q32.3	AMP	39	2173	1.8%	No
PKN1		19p13.12	AMP	39	2173	1.8%	No
PRNP		20p13	AMP	39	2173	1.8%	No
PTGER1		19p13.12	AMP	39	2173	1.8%	No
RAP2A		13q32.1	AMP	39	2173	1.8%	No
SLC4A2		7q36.1	AMP	39	2173	1.8%	No
SSBP1		7q34	AMP	39	2173	1.8%	No
ZEB1		10p11.22	AMP	39	2173	1.8%	No
VCL		10q22.2	AMP	39	2173	1.8%	No
ZNF37A		10p11.1	AMP	39	2173	1.8%	No
ARHGEF5		7q35	AMP	39	2173	1.8%	No
CUL1		7q36.1	AMP	39	2173	1.8%	No
RFXANK		19p13.11	AMP	39	2173	1.8%	No
ARTN		1p34.1	AMP	39	2173	1.8%	No
CLDN10		13q32.1	AMP	39	2173	1.8%	No
ASIC3		7q36.1	AMP	39	2173	1.8%	No
HOMER3		19p13.11	AMP	39	2173	1.8%	No
IL27RA		19p13.12	AMP	39	2173	1.8%	No
AKAP12		6q25.1	AMP	39	2173	1.8%	No
GINS1		20p11.21	AMP	39	2173	1.8%	No
DMTF1		7q21.12	AMP	39	2173	1.8%	No
AP3S2		15q26.1	AMP	39	2173	1.8%	No
LILRB2		19q13.42	AMP	39	2173	1.8%	No
B3GNT3		19p13.11	AMP	39	2173	1.8%	No
SEMA3C		7q21.11	AMP	39	2173	1.8%	No
FARS2		6p25.1	AMP	39	2173	1.8%	No
GIPC1		19p13.12	AMP	39	2173	1.8%	No
FASTK		7q36.1	AMP	39	2173	1.8%	No
C11ORF58		11p15.2	AMP	39	2173	1.8%	No
FERMT2		14q22.1	AMP	39	2173	1.8%	No
LILRB5		19q13.42	AMP	39	2173	1.8%	No
LILRB3		19q13.42	AMP	39	2173	1.8%	No
LILRA3		19q13.4	AMP	39	2173	1.8%	No
ABCB8		7q36.1	AMP	39	2173	1.8%	No
PPP6R1		19q13.42	AMP	39	2173	1.8%	No
FOXJ3		1p34.2	AMP	39	2173	1.8%	No
FCHO1		19p13.11	AMP	39	2173	1.8%	No
TBC1D30		12q14.3	AMP	39	2173	1.8%	No
LILRA4		19q13.42	AMP	39	2173	1.8%	No
PRND		20p13	AMP	39	2173	1.8%	No
HSPBP1		19q13.42	AMP	39	2173	1.8%	No
HECTD1		14q12	AMP	39	2173	1.8%	No
CLIP3		19q13.12	AMP	39	2173	1.8%	No
DENND2A		7q34	AMP	39	2173	1.8%	No
C19ORF53		19p13.13	AMP	39	2173	1.8%	No
TAS2R3		7q34	AMP	39	2173	1.8%	No
TAS2R4		7q34	AMP	39	2173	1.8%	No
DERA		12p12.3	AMP	39	2173	1.8%	No
NDUFA13		19p13.11	AMP	39	2173	1.8%	No
HAO2		1p12	AMP	39	2173	1.8%	No
BPIFA1		20q11.21	AMP	39	2173	1.8%	No
WDR83OS		19p13.13	AMP	39	2173	1.8%	No
LUC7L2		7q34	AMP	39	2173	1.8%	No
TM6SF2		19p13.11	AMP	39	2173	1.8%	No
TAS2R5		7q34	AMP	39	2173	1.8%	No
MIOS		7p21.3	AMP	39	2173	1.8%	No
CRLS1		20p12.3	AMP	39	2173	1.8%	No
GATAD2A		19p13.11	AMP	39	2173	1.8%	No
FERMT1		20p12.3	AMP	39	2173	1.8%	No
RADIL		7p22.1	AMP	39	2173	1.8%	No
UGGT2		13q32.1	AMP	39	2173	1.8%	No
RNF130		5q35.3	AMP	39	2173	1.8%	No
CBWD1		9p24.3	AMP	39	2173	1.8%	No
GPCPD1		20p12.3	AMP	39	2173	1.8%	No
CNOT6		5q35.3	AMP	39	2173	1.8%	No
ZNF490		19p13.2-p13.13	AMP	39	2173	1.8%	No
ZBTB2		6q25.1	AMP	39	2173	1.8%	No
ZFP14		19q13.12	AMP	39	2173	1.8%	No
ZNF529		19q13.12	AMP	39	2173	1.8%	No
BLOC1S5		6p24.3	AMP	39	2173	1.8%	No
CSMD1		8p23.2	AMP	39	2173	1.8%	No
VPS16		20p13	AMP	39	2173	1.8%	No
MRPS24		7p13	AMP	39	2173	1.8%	No
MRPS6		21q22.11	AMP	39	2173	1.8%	No
TMEM243		7q21.12	AMP	39	2173	1.8%	No
LILRA6		19q13.42	AMP	39	2173	1.8%	No
C19ORF57		19p13.12	AMP	39	2173	1.8%	No
BCL2L14		12p13.2	AMP	39	2173	1.8%	No
BTNL8		5q35.3	AMP	39	2173	1.8%	No
TXNDC5		6p24.3	AMP	39	2173	1.8%	No
CCDC130		19p13.13	AMP	39	2173	1.8%	No
TMUB1		7q36.1	AMP	39	2173	1.8%	No
LONP2		16q12.1	AMP	39	2173	1.8%	No
TSSK6		19p13.11	AMP	39	2173	1.8%	No
MRI1		19p13.13	AMP	39	2173	1.8%	No
RNF135		17q11.2	AMP	39	2173	1.8%	No
WDR83		19p13.13	AMP	39	2173	1.8%	No
PTPN5		11p15.1	AMP	39	2173	1.8%	No
TMTC4		13q32.3	AMP	39	2173	1.8%	No
HSH2D		19p13.11	AMP	39	2173	1.8%	No
ABCC11		16q12.1	AMP	39	2173	1.8%	No
SLC22A16		6q21|6q21-q22.1	AMP	39	2173	1.8%	No
SLC25A21		14q13.3	AMP	39	2173	1.8%	No
FATE1		Xq28	AMP	39	2173	1.8%	No
CTU1		19q13.41	AMP	39	2173	1.8%	No
ADCK2		7q34	AMP	39	2173	1.8%	No
SLFN11		17q12	AMP	39	2173	1.8%	Yes
NLRP12		19q13.42	AMP	39	2173	1.8%	No
ZNF461		19q13.12	AMP	39	2173	1.8%	No
SCGB3A1		5q35.3	AMP	39	2173	1.8%	No
SYCE1		10q26.3	AMP	39	2173	1.8%	No
